Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6,Angle7,Distance7,Density7,Angle8,Distance8,Density8,Angle9,Distance9,Density9,Angle10,Distance10,Density10,Angle11,Distance11,Density11
 1,7.98191222894128,3.90103582205398,2,4.78724599708539,3.92476750279144,0,0,0,0,7.98191222894128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 1,7.98191222894128,3.90103582205398,2,4.78724599708539,3.92476750279144,2,9.1135244663802,4.99431676036877,0,7.98191222894128,0,0,0,0,0,0,0,0,0,0,0,6.99286665194037,5.84484021054126,0,0,0,0,0,0,0,0,0,0
 1,7.98191222894128,3.90103582205398,2,4.78724599708539,3.92476750279144,2,9.1135244663802,4.99431676036877,2,7.98191222894128,0,0,0,0,0,3.37362690706869,8.16988853216226,0,0,0,0,6.99286665194037,5.84484021054126,2,5.20359938709634,5.43474136532242,0,0,0,0,0,0,0
 1,7.98191222894128,3.90103582205398,2,4.78724599708539,3.92476750279144,2,9.1135244663802,4.99431676036877,2,7.98191222894128,0,0,0,0,0,3.37362690706869,8.16988853216226,5,0,0,0,6.99286665194037,5.84484021054126,2,5.20359938709634,5.43474136532242,5,0,0,0,0,0,0
 1,7.98191222894128,3.90103582205398,2,4.78724599708539,3.92476750279144,2,7.94558469955554,1.74734857561364,2,7.98191222894128,0,0,0,0,0,3.37362690706869,8.16988853216226,5,0,0,0,5.50277894313772,5.58251562800783,2,5.20359938709634,5.43474136532242,5,0,0,0,0,0,0
 1,7.98191222894128,3.90103582205398,2,4.78724599708539,3.92476750279144,2,7.94558469955554,1.74734857561364,2,7.98191222894128,8.59069726490213,2,0,0,0,3.37362690706869,8.16988853216226,5,0,0,0,5.50277894313772,5.58251562800783,2,5.20359938709634,5.43474136532242,5,5.80901851919378,7.81881648512061,2,0,0,0
 2,4.28113583307901,6.31656392581313,2,8.42587199538504,2.76780438906431,0,0,0,0,4.28113583307901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 2,4.28113583307901,6.31656392581313,2,8.42587199538504,2.76780438906431,2,5.19253106171996,3.71764911957513,0,4.28113583307901,0,0,0,0,0,0,0,0,0,0,0,4.56553677956023,3.48847303844712,0,0,0,0,0,0,0,0,0,0
 2,4.28113583307901,6.31656392581313,2,8.42587199538504,2.76780438906431,2,5.19253106171996,3.71764911957513,3,4.28113583307901,0,0,0,0,0,0,0,0,0,0,0,4.56553677956023,3.48847303844712,3,0,0,0,0,0,0,0,0,0
 2,4.28113583307901,6.31656392581313,2,8.42587199538504,2.76780438906431,2,5.19253106171996,3.71764911957513,3,4.28113583307901,5.30511414754118,1,0,0,0,0,0,0,0,0,0,4.56553677956023,3.48847303844712,3,0,0,0,6.26320782948771,7.44564442361193,1,0,0,0
 3,8.2849921410586,4.63274020553698,1,5.44130306200019,4.76977948468513,0,0,0,0,8.2849921410586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 3,8.2849921410586,4.63274020553698,1,5.44130306200019,4.76977948468513,1,5.2253679336287,4.84408093687291,0,8.2849921410586,0,0,0,0,0,0,0,0,0,0,0,5.71307766076013,2.59862759281134,0,0,0,0,0,0,0,0,0,0
 3,8.2849921410586,4.63274020553698,1,5.44130306200019,4.76977948468513,1,5.2253679336287,4.84408093687291,1,8.2849921410586,0,0,0,0,0,5.55095541264447,6.56433370214822,0,0,0,0,5.71307766076013,2.59862759281134,1,4.0903424142053,4.18349880316273,0,0,0,0,0,0,0
 3,8.2849921410586,4.63274020553698,1,5.44130306200019,4.76977948468513,1,5.2253679336287,4.84408093687291,1,8.2849921410586,0,0,0,0,0,5.55095541264447,6.56433370214822,6,0,0,0,5.71307766076013,2.59862759281134,1,4.0903424142053,4.18349880316273,6,0,0,0,0,0,0
 3,8.2849921410586,4.63274020553698,1,5.44130306200019,4.76977948468513,1,4.45439576656632,2.81326357297157,1,8.2849921410586,0,0,0,0,0,5.55095541264447,6.56433370214822,6,0,0,0,3.44149142256942,4.96018795546096,1,4.0903424142053,4.18349880316273,6,0,0,0,0,0,0
 3,8.2849921410586,4.63274020553698,1,5.44130306200019,4.76977948468513,1,4.45439576656632,2.81326357297157,1,8.2849921410586,3.20713608704545,1,0,0,0,5.55095541264447,6.56433370214822,6,0,0,0,3.44149142256942,4.96018795546096,1,4.0903424142053,4.18349880316273,6,7.63073151418929,5.45183676359332,1,0,0,0
