Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
 1,3.40263604733997,4.33580580514394,0,5.80751674105449,6.02601309691203,0,3.37362690706869,8.16988853216226,5,3.40263604733997,0,0,0,0,0,7.15513371288289,1.74734857561364,0
 1,3.40263604733997,4.33580580514394,0,5.80751674105449,6.02601309691203,0,3.37362690706869,8.16988853216226,5,3.40263604733997,0,0,0,0,0,7.15513371288289,1.74734857561364,3
 1,3.40263604733997,4.33580580514394,0,5.80751674105449,6.02601309691203,0,6.4737928765628,8.59069726490213,3,3.40263604733997,0,0,0,0,0,7.15513371288289,1.74734857561364,3
 2,2.74032335710975,6.31656392581313,2,6.45266981058622,2.76780438906431,0,0,0,0,2.74032335710975,0,0,0,0,0,0,0,0
 2,2.74032335710975,6.31656392581313,2,6.45266981058622,2.76780438906431,2,3.85639935125863,5.30511414754118,0,2.74032335710975,0,0,0,0,0,0,0,0
 1,3.40263604733997,4.33580580514394,0,5.80751674105449,6.02601309691203,0,6.4737928765628,8.59069726490213,3,3.40263604733997,3.71764911957513,1,0,0,0,7.15513371288289,1.74734857561364,3
 2,2.74032335710975,6.31656392581313,2,6.45266981058622,2.76780438906431,2,3.85639935125863,5.30511414754118,2,2.74032335710975,0,0,0,0,0,0,0,0
 2,2.74032335710975,6.31656392581313,2,6.45266981058622,2.76780438906431,2,3.85639935125863,5.30511414754118,2,2.74032335710975,5.71523169956902,1,0,0,0,0,0,0
 3,3.87467051480901,3.59432736502212,0,4.1147748982867,6.53510074352838,0,5.20359938709634,5.43474136532242,5,3.87467051480901,0,0,0,0,0,4.5177247023777,5.58251562800783,0
 3,3.87467051480901,3.59432736502212,0,4.1147748982867,6.53510074352838,0,5.20359938709634,5.43474136532242,5,3.87467051480901,0,0,0,0,0,4.5177247023777,5.58251562800783,2
