Rank,Angle1,Distance1,Density1,Angle2,Distance2,Density2,Angle3,Distance3,Density3,Angle4,Distance4,Density4,Angle5,Distance5,Density5,Angle6,Distance6,Density6
1,3.402636047,4.335805805,0,5.807516741,6.026013097,0,3.373626907,8.169888532,5,3.402636047,0,0,0,0,0,7.155133713,1.747348576,0
1,3.402636047,4.335805805,0,5.807516741,6.026013097,0,3.373626907,8.169888532,5,3.402636047,0,0,0,0,0,7.155133713,1.747348576,3
1,3.402636047,4.335805805,0,5.807516741,6.026013097,0,6.473792877,8.590697265,3,3.402636047,0,0,0,0,0,7.155133713,1.747348576,3
2,2.740323357,6.316563926,2,6.452669811,2.767804389,0,0,0,0,2.740323357,0,0,0,0,0,0,0,0
2,2.740323357,6.316563926,2,6.452669811,2.767804389,2,3.856399351,5.305114148,0,2.740323357,0,0,0,0,0,0,0,0
1,3.402636047,4.335805805,0,5.807516741,6.026013097,0,6.473792877,8.590697265,3,3.402636047,3.71764912,1,0,0,0,7.155133713,1.747348576,3
2,2.740323357,6.316563926,2,6.452669811,2.767804389,2,3.856399351,5.305114148,2,2.740323357,0,0,0,0,0,0,0,0
2,2.740323357,6.316563926,2,6.452669811,2.767804389,2,3.856399351,5.305114148,2,2.740323357,5.7152317,1,0,0,0,0,0,0
3,3.874670515,3.594327365,0,4.114774898,6.535100744,0,5.203599387,5.434741365,5,3.874670515,0,0,0,0,0,4.517724702,5.582515628,0
3,3.874670515,3.594327365,0,4.114774898,6.535100744,0,5.203599387,5.434741365,5,3.874670515,0,0,0,0,0,4.517724702,5.582515628,2
3,3.874670515,3.594327365,0,4.114774898,6.535100744,0,5.037073573,7.818816485,5,3.874670515,0,0,0,0,0,4.517724702,5.582515628,2
3,3.874670515,3.594327365,0,4.114774898,6.535100744,0,5.037073573,7.818816485,5,3.874670515,3.488473038,2,0,0,0,4.517724702,5.582515628,2
4,3.759053924,3.525727132,0,7.22068559,3.920466533,0,5.550955413,6.564333702,3,3.759053924,0,0,0,0,0,3.663557193,2.813263573,0
4,3.759053924,3.525727132,0,7.22068559,3.920466533,0,5.550955413,6.564333702,3,3.759053924,0,0,0,0,0,3.663557193,2.813263573,2
4,3.759053924,3.525727132,0,7.22068559,3.920466533,0,6.302227811,3.207136087,3,3.759053924,0,0,0,0,0,3.663557193,2.813263573,2
4,3.759053924,3.525727132,0,7.22068559,3.920466533,0,6.302227811,3.207136087,3,3.759053924,3.045161931,2,0,0,0,3.663557193,2.813263573,2
5,5.311246633,3.722251072,0,5.146714047,5.634361717,0,3.655303653,3.656527946,5,5.311246633,0,0,0,0,0,4.043870652,2.844553945,0
5,5.311246633,3.722251072,0,5.146714047,5.634361717,0,3.655303653,3.656527946,5,5.311246633,0,0,0,0,0,4.043870652,2.844553945,2
6,3.858281706,3.9911355,1,3.302779133,2.249892831,0,0,0,0,3.858281706,0,0,0,0,0,0,0,0
6,3.858281706,3.9911355,1,3.302779133,2.249892831,1,5.426075952,7.445644424,0,3.858281706,0,0,0,0,0,0,0,0
6,3.858281706,3.9911355,1,3.302779133,2.249892831,1,5.426075952,7.445644424,4,3.858281706,0,0,0,0,0,0,0,0
6,3.858281706,3.9911355,1,3.302779133,2.249892831,1,5.426075952,7.445644424,4,3.858281706,0,0,4.886065531,4.487606532,1,0,0,0
7,6.671026588,6.193986379,0,4.466128704,3.34721889,0,5.014288539,5.443512974,4,6.671026588,0,0,0,0,0,6.462930984,4.087040287,0
7,6.671026588,6.193986379,0,4.466128704,3.34721889,0,5.014288539,5.443512974,4,6.671026588,0,0,0,0,0,6.462930984,4.087040287,1
8,3.368845459,4.833551975,0,5.54493475,3.824210184,0,4.090342414,4.183498803,1,3.368845459,0,0,0,0,0,2.510185518,4.960187955,0
8,3.368845459,4.833551975,0,5.54493475,3.824210184,0,4.090342414,4.183498803,1,3.368845459,0,0,0,0,0,2.510185518,4.960187955,1
8,3.368845459,4.833551975,0,5.54493475,3.824210184,0,6.454694692,5.451836764,2,3.368845459,0,0,0,0,0,2.510185518,4.960187955,1
8,3.368845459,4.833551975,0,5.54493475,3.824210184,0,6.454694692,5.451836764,2,3.368845459,6.424307853,2,0,0,0,2.510185518,4.960187955,1
9,7.185456607,2.5891205,0,4.431656038,6.079515272,0,3.739302852,3.557357659,5,7.185456607,0,0,0,0,0,4.690524474,8.425549893,0
9,7.185456607,2.5891205,0,4.431656038,6.079515272,0,3.739302852,3.557357659,5,7.185456607,0,0,0,0,0,4.690524474,8.425549893,1
9,7.185456607,2.5891205,0,4.431656038,6.079515272,0,4.82486006,7.369210235,3,7.185456607,0,0,0,0,0,4.690524474,8.425549893,1
9,7.185456607,2.5891205,0,4.431656038,6.079515272,0,4.82486006,7.369210235,3,7.185456607,3.978790217,3,0,0,0,4.690524474,8.425549893,1
10,1.705013684,5.553533545,0,5.525859284,5.047829357,0,6.450989752,4.070927953,4,1.705013684,0,0,0,0,0,4.086730219,5.665488085,0
10,1.705013684,5.553533545,0,5.525859284,5.047829357,0,6.450989752,4.070927953,4,1.705013684,0,0,0,0,0,4.086730219,5.665488085,2
11,5.341441442,4.417532733,0,5.275614607,3.947826355,0,4.7356137,7.848025269,3,5.341441442,0,0,0,0,0,3.266341719,6.110717108,0
11,5.341441442,4.417532733,0,5.275614607,3.947826355,0,4.7356137,7.848025269,3,5.341441442,0,0,0,0,0,3.266341719,6.110717108,2
12,6.515215083,4.558121466,1,3.143306185,3.314637543,0,0,0,0,6.515215083,0,0,0,0,0,0,0,0
12,6.515215083,4.558121466,1,3.143306185,3.314637543,1,3.635192599,6.560411276,0,6.515215083,0,0,0,0,0,0,0,0
12,6.515215083,4.558121466,1,3.143306185,3.314637543,1,3.635192599,6.560411276,2,6.515215083,0,0,0,0,0,0,0,0
12,6.515215083,4.558121466,1,3.143306185,3.314637543,1,3.635192599,6.560411276,2,6.515215083,0,0,3.571137835,1.624420649,1,0,0,0
13,6.893297258,5.349469994,0,3.948119472,4.627701249,0,6.799248381,3.365348833,5,6.893297258,0,0,0,0,0,2.239708803,4.289549106,0
13,6.893297258,5.349469994,0,3.948119472,4.627701249,0,6.799248381,3.365348833,5,6.893297258,0,0,0,0,0,2.239708803,4.289549106,4
13,6.893297258,5.349469994,0,3.948119472,4.627701249,0,4.875384087,5.292369038,2,6.893297258,0,0,0,0,0,2.239708803,4.289549106,4
13,6.893297258,5.349469994,0,3.948119472,4.627701249,0,4.875384087,5.292369038,2,6.893297258,6.458708425,1,0,0,0,2.239708803,4.289549106,4
14,5.379991874,5.893825774,0,6.324662327,4.853257474,0,4.487338169,2.240406339,2,5.379991874,0,0,0,0,0,4.129123775,8.151346899,0
14,5.379991874,5.893825774,0,6.324662327,4.853257474,0,4.487338169,2.240406339,2,5.379991874,0,0,0,0,0,4.129123775,8.151346899,2
15,6.672713766,5.296429624,1,4.460188042,6.507592788,0,0,0,0,6.672713766,0,0,0,0,0,0,0,0
15,6.672713766,5.296429624,1,4.460188042,6.507592788,1,3.748693349,2.985119606,0,6.672713766,0,0,0,0,0,0,0,0
15,6.672713766,5.296429624,1,4.460188042,6.507592788,1,3.748693349,2.985119606,2,6.672713766,0,0,0,0,0,0,0,0
15,6.672713766,5.296429624,1,4.460188042,6.507592788,1,3.748693349,2.985119606,2,6.672713766,0,0,7.123269476,6.757009786,2,0,0,0
16,6.046497582,6.331138194,1,7.750486227,6.037060208,0,0,0,0,6.046497582,0,0,0,0,0,0,0,0
16,6.046497582,6.331138194,1,7.750486227,6.037060208,1,4.575287363,5.087205475,0,6.046497582,0,0,0,0,0,0,0,0
