Rank,Camera1_Performance,Camera2_Performance,Camera3_Performance,Camera4_Performance,Camera5_Performance,Camera6_Performance,Camera7_Performance,Camera8_Performance,Camera9_Performance
1,38.27570422715,28.488594280206,54.157532817544364,57.0343499985426,0.0,46.1740617569238,0.0,47.71751815720724,42.553363009675046
2,34.22754913169152,36.88189679860212,30.822062122634403,31.181750018603722,0.0,0.0,0.0,28.52079177772752,0.0
3,43.92771393952397,33.97465631181448,36.982897630792124,56.67201905785848,0.0,48.46115645917076,0.0,29.322962491862327,33.09536486947212
4,33.03815532998536,43.676221240270124,50.46429746814256,25.173131079358956,0.0,29.18664204256344,0.0,57.18220892705792,40.658388857258196
5,35.13399082003964,43.12430305784461,33.1820393486416,21.2449865336948,0.0,33.12341497062105,46.334119351866086,42.5224067894856,45.77115793149549
6,30.397668823730285,22.21068785556048,32.943356413310596,15.433126822602802,28.24732639540548,0.0,0.0,44.527033104465595,0.0
7,50.46005187042708,31.2533903763784,52.29283294117239,26.68410635279252,0.0,35.5968596471014,40.59950256726032,35.2519749880328,44.82116933029696
8,33.3817227232916,42.66452293718404,40.99752839744356,31.16383240604696,0.0,42.091813032914885,0.0,55.01124751622972,51.1788920936712
9,39.532498711966326,37.32543653728641,45.74956963729689,47.2722668250678,0.0,44.20211525843424,0.0,46.273495758756354,35.1180953387102
10,28.034188917499357,42.2947545623356,49.997745416713876,6.820054737825119,0.0,37.547534785759005,43.56460849131596,49.425963223367084,22.25491695887296
11,38.035896700160045,36.893763849590286,45.39661694493908,21.36576576660484,0.0,33.37566736377448,36.476579732979566,39.378727853313436,27.55960517018548
12,43.293346194100494,25.831774912150763,34.748979559104285,26.060860330601525,40.8312060529638,0.0,0.0,37.137359184708885,0.0
13,30.20154455963692,36.00145209929228,52.06620079224928,37.34900154225236,0.0,43.19301738055824,0.0,49.81191363936384,63.80709211360512
14,44.09527059272632,44.71167920191416,51.46798443859696,21.51996749597488,0.0,47.7776506389076,41.04468523903124,51.698195478313245,39.40661142499712
15,46.87657355906712,43.871123323038915,31.9143356280932,26.69085506506172,40.08767081865672,0.0,0.0,46.05654333199756,0.0
16,48.51054310225428,55.150185740200605,26.917786286580082,51.968568022197914,0.0,0.0,0.0,44.03810941213601,0.0
17,42.62855240923544,39.62701691536312,38.519223569010286,25.31796242422672,0.0,44.33099413311776,33.303282883151205,41.081326736914605,33.17187681908436
18,39.98297117121277,39.525717720450245,43.562943426857245,51.92280056838289,0.0,0.0,0.0,47.98384573699088,0.0
19,45.52210124195872,25.314944332605922,29.228314221808727,21.377234526948882,26.55369838771348,44.730387109881164,0.0,41.1801669425936,32.200201531477
20,26.254191897950285,45.680086127977724,43.67869860944956,17.48343611334428,0.0,0.0,0.0,43.39840546075672,0.0
21,26.141209633420004,32.3811376861784,48.95175236568956,30.01504549589188,0.0,40.0996115530578,0.0,54.162550889026605,36.79796537845797
22,48.61580749250452,53.916162162517125,48.70690450127167,22.01790534008136,0.0,46.71107374554252,47.38595700487724,43.07590140335696,38.72097195838936
23,38.33593167900944,37.87074098227452,41.90565970607816,41.6819799937628,0.0,21.718214959179207,0.0,44.7412094543248,46.10826824284988
24,50.56468517658737,49.65956748106996,49.16140267581668,26.30099849423036,0.0,28.06701938564472,27.497204470811,38.33658930193044,50.02840589033279
25,28.121428146633082,30.470235398826002,41.6165179922946,26.87742130790988,0.0,0.0,0.0,42.61750584223528,0.0
26,38.84132403824072,35.95930304539064,51.40935291385309,16.79202946024812,0.0,34.121134952574565,31.992606916590837,29.388338803832365,21.14495079557912
27,27.37010645734016,32.50780801012996,32.5988768537764,13.796936957994918,49.33455587801412,0.0,0.0,37.897472687943164,0.0
28,37.631116780461085,44.2227883142712,38.116199635013004,45.85172277935452,0.0,0.0,0.0,42.177342186395606,0.0
29,30.840667245965847,45.465554183319,40.45961875734989,26.976140123835762,0.0,49.69280094112264,0.0,42.82016466069788,32.33480725425056
30,22.5524029359896,47.053393951630845,50.7734942090698,27.826397184742717,0.0,0.0,0.0,38.16874984020692,0.0
31,41.749593275566845,43.578115043867086,48.82030487168948,35.22401857845264,0.0,0.0,0.0,17.84593677453368,0.0
32,36.1070932528566,37.2400854543608,44.30425420049588,30.79820139502972,0.0,0.0,0.0,52.51843002525855,0.0
33,39.458206233329044,53.774410939939955,49.14691905427896,39.58472122007084,0.0,0.0,0.0,31.854451844034244,0.0
34,31.951592305811715,47.37175998589828,41.897287072235045,30.462408974860477,0.0,31.715733889941923,0.0,37.583869080179596,43.14524133346672
35,23.11073104758216,28.472987968948882,29.168992239998442,8.828767796523723,0.0,30.084275823866758,41.77100276926644,39.468419071456594,39.58872588646379
36,27.907391850686402,39.70956759862792,48.27895921178852,13.516402645018118,41.19988508222656,65.65895847388805,0.0,48.99291041872632,29.531689621668843
37,34.93833289013952,44.0835797718748,36.76887713119088,17.75068540919356,25.910978031208636,0.0,0.0,48.10845016154468,0.0
38,35.927204361918726,34.01704332470704,31.45001442630712,34.258075938455804,0.0,0.0,0.0,34.685033158709565,0.0
39,46.36560356777445,42.98894731636484,30.45811284465828,31.609777033046004,0.0,40.84230476406764,16.9567024872382,39.13382126179364,48.98732233730889
40,31.7737921076904,50.718015676910724,32.597736821558485,13.08891964186052,0.0,49.79613705469664,32.71562156278425,44.39906884339676,48.619324989558564
41,37.57314453753284,42.830886617388195,42.491953270250484,13.26601013738268,0.0,35.79766717318497,34.696466673857365,39.21303139008736,29.05309514551252
42,35.77896361650021,42.9158677714598,37.48982454144743,14.85679192653244,0.0,42.66580954714484,42.84344094731777,46.01801459533916,45.04770706735236
43,39.10481383766496,43.04351106163005,39.46433973180689,36.79666016337892,0.0,37.96528300997789,0.0,37.85925093594052,43.3844031447906
44,37.1322563270894,43.269270977680286,26.856693941911082,28.58122657046756,0.0,51.84885690032963,55.305546277897044,32.44161053240156,56.75952581749124
45,33.91902783547033,42.60617964943396,39.05660929030568,39.056822630759086,0.0,35.8985317121056,0.0,50.185736314167315,25.014729310863604
46,22.183918205415797,35.100876854588726,38.91023789850364,17.22729531461268,49.72200281367132,0.0,0.0,53.075095945401074,0.0
47,46.74856104498688,41.422781106086724,48.23035367625239,41.241309292938396,0.0,51.465644811382404,0.0,51.11705518160048,41.183702719029405
48,42.50009219194728,45.64308209405984,37.98668878802589,22.95342841842184,0.0,0.0,0.0,34.36089500039236,0.0
49,44.345665823108,39.80600769405588,42.15436779110932,21.77205976897792,0.0,42.65434439139044,38.521025603759,37.44584529745832,30.6439481901702
50,34.666119652012405,21.22684013643076,43.976790689818124,39.92047280634953,0.0,0.0,0.0,40.96108231922616,0.0
51,37.63775188270132,32.69582580168652,40.264829378071404,44.706953127575325,0.0,0.0,0.0,56.21841113161501,0.0
52,59.82600270451848,40.2010343495386,48.78665754057607,46.16423519209884,0.0,29.948450083324886,0.0,51.68238249909724,42.767306094185244
53,36.29405217258604,38.23023318728092,30.60251325747848,49.50488484763207,0.0,0.0,0.0,40.85098264561388,0.0
54,49.69547260631029,48.43465746252464,44.91515711044533,29.1022802737476,0.0,45.419964588050085,33.084109538556085,32.6129546437466,39.22868262710484
55,25.196194925025562,29.153516755250365,44.32967539280588,14.90387919762548,41.01061381079532,0.0,0.0,51.27610342750499,0.0
56,28.95924765932608,29.940305521417642,39.68038292591544,12.762242111383722,0.0,43.50370701866716,39.602386711856475,42.25160554719728,35.698527104351086
57,25.7757269455446,25.211014201984806,32.99225764327248,10.660087858579802,0.0,35.77450008517881,39.8089137326008,41.996551071731794,50.73663436107992
58,41.990859324869,18.91428423767596,36.66405070355,46.59916926228496,0.0,0.0,0.0,35.65104360702072,0.0
59,46.113183242918645,52.955212164273966,27.17107102485944,36.534524914868996,0.0,0.0,0.0,34.86625999032324,0.0
60,25.004730283489156,52.03647232708673,27.94367397810448,38.37343484892192,0.0,0.0,0.0,48.89649866457296,0.0
61,36.70842824407724,33.45928104006328,41.535266216204846,43.21713630255768,0.0,35.19829424618116,0.0,57.68687827000916,60.661182009603934
62,43.603948513357636,30.087445621092478,35.75066926408884,25.8919932113296,0.0,49.62396202967808,28.090537736066963,38.35510816533072,53.90768098378537
63,39.58391254940412,45.62869414582569,34.346475508111084,50.53375858989724,0.0,0.0,0.0,42.02378777081957,0.0
64,49.68110930613183,35.42041109466064,50.91949723622916,36.200852367397914,0.0,0.0,0.0,46.842365459104194,0.0
65,39.306940524290326,46.50989833399605,46.30737404394765,36.653439719871876,0.0,54.3711016041732,0.0,33.94466283620873,49.255383131687324
66,32.64539583226272,42.863107272254844,29.46143296549344,22.4805678773782,0.0,42.226065663049006,43.866957943651684,49.12708351737084,39.17629473931548
67,35.50950972713804,40.447743217354834,41.92979574717452,34.46913952594412,0.0,0.0,0.0,43.073350540483325,0.0
68,25.716699366219043,25.417606383442358,46.99906284445688,16.119839771336643,27.6483740665382,0.0,0.0,37.06059673784932,0.0
69,38.147862734633804,50.30364357472741,44.543408425115715,44.810829829059685,0.0,0.0,0.0,49.040355170441565,0.0
